topic,n,mean,median,sd,ci_95_low,ci_95_high,non_theist_higher,ties,theist_higher,theist_pro_n,theist_pro_mean,exclude_top_four_n,exclude_top_four_mean,earlier_n,earlier_mean,later_n,later_mean
"Religion, culture & meaning",20,8.65,9.5,4.8696157851248225,6.55,10.7,19,1,0,16,9.25,9,8.666666666666666,15,7.8,5,11.2
"Scripture, revelation & doctrine",19,7.842105263157895,7.0,6.300468747065454,5.105263157894737,10.631578947368421,17,1,1,17,8.588235294117647,9,5.111111111111111,17,7.470588235294118,2,11.0
"Mind, reason & logic",18,7.222222222222222,5.0,8.55126791806548,3.4444444444444446,11.055555555555555,14,1,3,17,7.470588235294118,10,4.9,17,7.117647058823529,1,9.0
"Evil, suffering & hiddenness",17,7.0588235294117645,7.0,4.130232866245167,5.117647058823529,8.882352941176471,16,0,1,13,7.923076923076923,11,6.090909090909091,14,7.642857142857143,3,4.333333333333333
Morality & ethics,20,6.55,7.0,5.623961892511457,4.2,8.95,17,1,2,17,7.235294117647059,11,6.636363636363637,18,5.833333333333333,2,13.0
"Cosmology, science & design",23,5.521739130434782,7.0,7.2228775757524994,2.5206521739130445,8.26086956521739,20,0,3,21,6.714285714285714,18,4.722222222222222,21,5.666666666666667,2,4.0
General theism / naturalism,36,5.111111111111111,5.0,6.3009195599997385,3.0833333333333335,7.111111111111111,30,0,6,32,5.09375,25,4.08,29,5.793103448275862,7,2.2857142857142856
Resurrection,16,3.6875,2.5,4.094203219186854,1.75,5.625,12,1,3,16,3.6875,8,1.5,15,3.933333333333333,1,0.0
