subset,theist_moves,non_theist_moves,evidence_warrant_gap,logical_coherence_gap,responsiveness_gap,calibration_charity_gap,theist_evidence_below_70_share,non_theist_evidence_below_70_share
All scored moves,1746,1756,8.527638833441614,7.1473847153402374,6.345254496447467,7.9960965121710075,0.6145475372279496,0.23348519362186787
Constructive moves only,548,375,8.162077858880778,7.23431630170316,2.323270072992699,7.919834549878345,0.6642335766423357,0.2826666666666667
Replies only,1198,1381,8.450057965303017,6.859282124806128,7.554022574433134,7.513680174173956,0.5918196994991652,0.22013034033309195
Load-bearing moves only,1256,1307,9.248751821402635,7.866334631260386,6.579971759121634,8.954359548535805,0.6114649681528662,0.18515684774292274
