number,theist_count,theist_moves,theist_share,non_theist_count,non_theist_moves,non_theist_share,difference
128,1,10,0.1,0,8,0.0,0.1
130,2,8,0.25,2,8,0.25,0.0
136,0,8,0.0,0,10,0.0,0.0
137,1,9,0.1111111111111111,0,10,0.0,0.1111111111111111
138,4,9,0.4444444444444444,2,10,0.2,0.2444444444444444
139,2,10,0.2,0,10,0.0,0.2
140,9,10,0.9,0,10,0.0,0.9
141,6,10,0.6,0,10,0.0,0.6
142,4,10,0.4,0,10,0.0,0.4
143,6,10,0.6,2,10,0.2,0.39999999999999997
144,0,10,0.0,1,9,0.1111111111111111,-0.1111111111111111
145,4,10,0.4,1,9,0.1111111111111111,0.2888888888888889
147,0,8,0.0,1,9,0.1111111111111111,-0.1111111111111111
148,0,11,0.0,0,10,0.0,0.0
150,2,9,0.2222222222222222,1,10,0.1,0.1222222222222222
151,4,10,0.4,0,10,0.0,0.4
152,6,11,0.5454545454545454,4,12,0.3333333333333333,0.2121212121212121
155,5,10,0.5,3,9,0.3333333333333333,0.16666666666666669
156,5,5,1.0,3,8,0.375,0.625
157,8,11,0.7272727272727273,0,12,0.0,0.7272727272727273
158,3,10,0.3,1,10,0.1,0.19999999999999998
160,5,8,0.625,0,9,0.0,0.625
161,5,12,0.4166666666666667,1,11,0.09090909090909091,0.3257575757575758
162,3,8,0.375,0,12,0.0,0.375
163,1,9,0.1111111111111111,0,10,0.0,0.1111111111111111
164,3,10,0.3,0,10,0.0,0.3
165,2,11,0.18181818181818182,4,10,0.4,-0.2181818181818182
166,0,8,0.0,4,8,0.5,-0.5
167,4,11,0.36363636363636365,0,10,0.0,0.36363636363636365
168,1,12,0.08333333333333333,0,12,0.0,0.08333333333333333
169,2,8,0.25,0,10,0.0,0.25
170,4,10,0.4,1,10,0.1,0.30000000000000004
171,1,11,0.09090909090909091,0,11,0.0,0.09090909090909091
172,0,9,0.0,2,10,0.2,-0.2
175,0,9,0.0,0,9,0.0,0.0
176,1,10,0.1,0,10,0.0,0.1
177,0,12,0.0,0,10,0.0,0.0
178,0,10,0.0,0,9,0.0,0.0
179,1,10,0.1,2,10,0.2,-0.1
181,0,11,0.0,0,9,0.0,0.0
191,1,10,0.1,0,10,0.0,0.1
194,2,7,0.2857142857142857,0,10,0.0,0.2857142857142857
195,2,8,0.25,1,10,0.1,0.15
