dimension,label,weight,non_theist_mean,theist_mean,dimension_gap,score_gap_contribution,share_of_official_gap
logicalCoherence,Logical coherence,0.25,83.3277801685494,76.06850409206179,7.259276076487609,1.8148190191219038,0.2858382238877929
evidenceWarrant,Evidence and warrant,0.2,75.15162437562438,66.59101960219269,8.560604773431692,1.7121209546863394,0.26966303946131537
responsiveness,Responsiveness,0.2,90.25951166781937,83.76023037859576,6.499281289223603,1.2998562578447197,0.2047303891665961
relevanceBurden,Relevance and burden,0.15,85.32241305489383,83.9112735277543,1.4111395271395253,0.21167092907092905,0.03333866450418174
precisionClarity,Precision and clarity,0.1,87.24087241604549,81.99721743000589,5.243654986039601,0.5243654986039603,0.0825887877577533
calibrationCharity,Calibration and charity,0.1,82.22857023105101,73.77454939291478,8.45402083813623,0.8454020838136223,0.13315279791659101
