speaker,appearances,mean_score,median_score,score_sd,score_min,score_max,score_range,mean_opponent_score,mean_margin,closed_appearances,standalone_appearances,ranking_value,rank,margin_rank,generation_adjusted_mean,generation_adjusted_rank,shrinkage_weight,shrunken_mean,shrunken_rank,bootstrap_mean_ci_95,bootstrap_rank_ci_95,bootstrap_rank_median,bootstrap_top_10_probability,hierarchical_mean,hierarchical_mean_sd,hierarchical_rank_ci_95,hierarchical_rank_median,hierarchical_top_10_probability,base_rank,leave_one_out_min_rank,leave_one_out_max_rank,leave_one_out_span,leave_one_out_max_absolute_shift
Richard Dawkins,6,81.33333333333333,82.5,3.9832984656772417,76,86,10,74.66666666666667,6.666666666666667,2,4,81.33333333333333,18,8,82.94676194324397,12,0.8999546443028411,81.35343871769125,18,"[78.33333333333333, 84.16666666666667]","[11.0, 32.0]",19.0,0.01645,81.35343871769125,1.2115996110818026,"[11.0, 31.0]",20.0,0.01465,18,15,24,9,6
Michael Shermer,6,81.0,80.5,3.1622776601683795,77,86,9,73.33333333333333,7.666666666666667,4,2,81.0,19,6,81.56097671667662,18,0.8999546443028411,81.05345383625696,19,"[78.83333333333333, 83.33333333333333]","[12.0, 31.0]",21.0,0.00435,81.05345383625696,1.2115996110818026,"[12.0, 32.0]",21.0,0.00905,19,16,27,11,8
Sam Harris,6,81.0,81.5,2.6076809620810595,77,84,7,78.5,2.5,5,1,81.0,20,17,81.0347507700596,20,0.8999546443028411,81.05345383625696,20,"[79.0, 82.83333333333333]","[14.0, 30.0]",21.0,0.00015,81.05345383625696,1.2115996110818026,"[12.0, 32.0]",21.0,0.00765,20,16,24,8,4
Stephen Woodford,6,81.0,81.5,1.7888543819998317,78,83,5,77.66666666666667,3.3333333333333335,5,1,81.0,21,14,81.0347507700596,21,0.8999546443028411,81.05345383625696,21,"[79.66666666666667, 82.16666666666667]","[16.0, 28.0]",21.0,0.0,81.05345383625696,1.2115996110818026,"[12.0, 32.0]",21.0,0.0102,21,17,23,6,4
Ben Watkins,3,80.66666666666667,81,5.507570547286102,75,86,11,77.33333333333333,3.3333333333333335,1,2,80.66666666666667,22,15,82.2800952765773,17,0.8181068531783316,80.82448250163469,22,"[75.0, 86.0]","[7.0, 37.0]",22.0,0.0858,80.82448250163469,1.6336869021925542,"[10.0, 34.0]",23.0,0.02615,22,11,32,21,11
Josh Rasmussen,5,80.6,81,2.701851217221259,77,84,7,86.0,-5.4,4,1,80.6,23,34,80.73999595938301,23,0.8823006282655114,80.7099660556133,23,"[78.6, 82.6]","[14.0, 32.0]",23.0,0.00065,80.7099660556133,1.31415844805185,"[12.0, 33.0]",23.0,0.00625,23,17,27,10,6
Richard Carrier,6,80.5,82.0,3.8858718455450894,73,83,10,78.5,2.0,5,1,80.5,24,19,80.5347507700596,24,0.8999546443028411,80.60347651410555,24,"[77.33333333333333, 82.66666666666667]","[14.0, 34.0]",23.0,0.0,80.60347651410555,1.2115996110818026,"[13.0, 33.0]",23.0,0.00325,24,16,27,11,8
Lawrence Krauss,3,80.33333333333333,81,4.041451884327381,76,84,8,79.33333333333333,1.0,3,0,80.33333333333333,25,23,79.84185815677593,26,0.8181068531783316,80.5517802172419,25,"[76.0, 84.0]","[11.0, 36.0]",24.0,0.0112,80.5517802172419,1.6336869021925542,"[11.0, 35.0]",24.0,0.01785,25,15,32,17,10
Robert Price,3,80.33333333333333,80,0.5773502691896257,80,81,1,82.33333333333333,-2.0,3,0,80.33333333333333,26,26,79.84185815677593,27,0.8181068531783316,80.5517802172419,26,"[80.0, 81.0]","[20.0, 29.0]",25.0,0.0,80.5517802172419,1.6336869021925542,"[11.0, 35.0]",24.0,0.01675,26,25,27,2,1
James Tour,4,80.25,80.0,1.2583057392117916,79,82,3,79.25,1.0,4,0,80.25,27,22,79.7585248234426,28,0.8570811500440955,80.43355011145059,27,"[79.25, 81.5]","[18.0, 30.0]",25.0,0.0,80.43355011145059,1.4481228800643096,"[12.0, 34.0]",24.0,0.0083,27,23,27,4,4
