cohort,label,debates,decisive_debates,ties,moves,fallacy_tagged_moves,fallacy_instances,fallacy_tagged_move_rate,fallacy_tagged_move_mean_score,untagged_move_mean_score,tagged_minus_untagged_score,side_score_fallacy_rate_correlation,lower_side_without_fallacy,lower_side_without_fallacy_share,lower_side_without_fallacy_ci_95,neither_side_with_fallacy,lower_more_fallacies,equal_fallacies,lower_fewer_fallacies,fallacy_free_loss_mean_margin,fallacy_free_loss_mean_margin_ci_95,fallacy_free_loss_median_margin,tagged_loss_mean_margin,tagged_loss_mean_margin_ci_95,tagged_loss_median_margin
closed,Earlier closed-findings,179,172,7,3423,65,65,0.018989190768331873,72.46153846153847,81.09410363311495,-8.632565171576488,-0.2732741447249106,139,0.8081395348837209,"[0.742819807420266, 0.8599959375747094]",135,30,138,4,6.438848920863309,"[5.748201438848921, 7.144064748201423]",6,9.545454545454545,"[7.454545454545454, 11.696969696969699]",9
standalone,Later standalone,33,32,1,1026,136,141,0.13255360623781676,72.84558823529412,78.57078651685393,-5.725198281559813,-0.44104376159371367,4,0.125,"[0.04970134387480073, 0.2806830548165022]",1,23,2,7,1.75,"[1.0, 2.5]",1.5,7.071428571428571,"[5.464285714285714, 8.785714285714286]",5.0
no_ledger,Published without locked ledger,16,16,0,210,42,43,0.2,73.21428571428571,82.9702380952381,-9.755952380952394,-0.6504584617386208,3,0.1875,"[0.06591599071428142, 0.4300888096197414]",1,9,5,2,2.3333333333333335,"[1.0, 4.0]",2,8.307692307692308,"[4.84423076923077, 12.538461538461538]",6
