speaker,rank,n,mean,sd,earlier_n,later_n,empirical_mean_ci,empirical_rank_ci,model_mean,model_rank_ci,model_top10,leave_one_out,paired_resample_rank_ci,generation_centered_rank
William Lane Craig,30,24,79.5,3.489113503954588,21,3,"[78.16666666666667, 80.875]","[23.0, 35.0]",79.53785225114028,"[23.0, 36.0]",0.0,"[30.0, 30.0]","[23.0, 35.0]",31.0
David Wood,31,4,79.0,4.320493798938574,4,0,"[75.0, 82.0]","[16.5, 43.0]",79.26705054696195,"[17.0, 41.0]",0.00055,"[21.5, 35.5]","[18.0, 42.0]",33.0
James White,32,3,79.0,1.0,1,2,"[78.0, 80.0]","[28.0, 36.0]",79.34143978703999,"[15.0, 42.0]",0.00255,"[30.5, 33.0]","[28.0, 35.0]",27.0
Jonathan McLatchie,33,4,78.75,3.774917217635375,4,0,"[75.5, 81.75]","[18.0, 42.0]",79.04918126839038,"[18.0, 42.0]",0.0004,"[28.0, 37.0]","[19.0, 41.0]",34.0
Tom Jump,34,5,78.0,2.449489742783178,2,3,"[76.0, 79.6]","[29.0, 41.0]",78.3248077931152,"[23.0, 43.0]",0.0,"[32.0, 37.0]","[30.0, 41.0]",32.0
Richard Swinburne,35,4,78.0,2.943920288775949,3,1,"[75.5, 80.5]","[25.0, 42.0]",78.39557343267563,"[21.0, 44.0]",0.0003,"[32.0, 38.0]","[27.0, 41.0]",35.0
Ross Douthat,36,3,77.66666666666667,7.767453465154029,2,1,"[69.0, 84.0]","[12.0, 50.0]",78.22720518352673,"[20.0, 45.0]",0.0002,"[15.5, 45.0]","[14.0, 50.0]",36.0
Glen Scrivener,37,5,77.6,2.8809720581775866,4,1,"[75.4, 79.8]","[28.5, 43.0]",77.96702016778464,"[25.0, 44.0]",0.0,"[34.0, 39.5]","[30.0, 42.0]",38.0
John Lennox,38,9,77.11111111111111,3.333333333333333,7,2,"[75.22222222222223, 79.33333333333333]","[31.0, 43.0]",77.35511851912021,"[31.0, 44.0]",0.0,"[36.0, 40.0]","[31.0, 43.0]",40.0
Trent Horn,39,6,76.83333333333333,3.8686776379877745,3,3,"[74.0, 79.5]","[30.0, 46.0]",77.21328885979565,"[30.0, 46.0]",0.0,"[35.0, 41.0]","[31.0, 46.0]",37.0
Aron Ra,40,4,76.75,2.6299556396765835,2,2,"[74.25, 78.5]","[33.0, 45.0]",77.30622703981773,"[27.0, 47.0]",0.0,"[35.0, 40.5]","[34.0, 45.0]",39.0
